,Parameter,Nominal,,,,,,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35
,gpdk090.scs,NN,,,,,,FF,FF,FF,FF,FF,FF,FF,FF,FF,FS,FS,FS,FS,FS,FS,FS,FS,FS,SF,SF,SF,SF,SF,SF,SF,SF,SF,SS,SS,SS,SS,SS,SS,SS,SS,SS
,temperature,27,,,,,,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60
,vg,600e-3,,,,,,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3

Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35
comps_Ckts:Differential_Cascode:1,"pv(""NM18"" ""vdsat"" ?result ""dcOpInfo"")",143.1e-3,> 100m,,pass,106.1e-3,207.6e-3,110.9e-3,121e-3,135.3e-3,110.9e-3,121e-3,135.3e-3,110.9e-3,121e-3,135.3e-3,106.1e-3,115.9e-3,129.7e-3,106.1e-3,115.9e-3,129.7e-3,106.1e-3,115.9e-3,129.7e-3,167.7e-3,183.7e-3,207.6e-3,167.7e-3,183.7e-3,207.6e-3,167.7e-3,183.7e-3,207.6e-3,159.8e-3,175.1e-3,197.8e-3,159.8e-3,175.1e-3,197.8e-3,159.8e-3,175.1e-3,197.8e-3
comps_Ckts:Differential_Cascode:1,"pv(""NM17"" ""vdsat"" ?result ""dcOpInfo"")",147.8e-3,> 100m,,pass,111.6e-3,208.9e-3,115.6e-3,126.8e-3,143.1e-3,115.6e-3,126.8e-3,143.1e-3,115.6e-3,126.8e-3,143.1e-3,111.6e-3,123e-3,139.3e-3,111.6e-3,123e-3,139.3e-3,111.6e-3,123e-3,139.3e-3,169.6e-3,185.7e-3,208.9e-3,169.6e-3,185.7e-3,208.9e-3,169.6e-3,185.7e-3,208.9e-3,162.9e-3,178.6e-3,201.7e-3,162.9e-3,178.6e-3,201.7e-3,162.9e-3,178.6e-3,201.7e-3
comps_Ckts:Differential_Cascode:1,"pv(""NM17"" ""gmoverid"" ?result ""dcOpInfo"")",10.77,range 5 18,,pass,7.796,13.62,13.35,12.15,10.7,13.35,12.15,10.7,13.35,12.15,10.7,13.62,12.3,10.75,13.62,12.3,10.75,13.62,12.3,10.75,9.571,8.769,7.796,9.571,8.769,7.796,9.571,8.769,7.796,9.969,9.086,8.003,9.969,9.086,8.003,9.969,9.086,8.003
comps_Ckts:Differential_Cascode:1,"pv(""NM16"" ""vdsat"" ?result ""dcOpInfo"")",167.6e-3,> 100m,,pass,127.4e-3,233.8e-3,127.4e-3,139.8e-3,157.3e-3,127.4e-3,139.8e-3,157.3e-3,127.4e-3,139.8e-3,157.3e-3,127.4e-3,139.8e-3,157.3e-3,127.4e-3,139.8e-3,157.3e-3,127.4e-3,139.8e-3,157.3e-3,189e-3,207.6e-3,233.8e-3,189e-3,207.6e-3,233.8e-3,189e-3,207.6e-3,233.8e-3,189e-3,207.6e-3,233.8e-3,189e-3,207.6e-3,233.8e-3,189e-3,207.6e-3,233.8e-3
comps_Ckts:Differential_Cascode:1,"pv(""NM16"" ""gmoverid"" ?result ""dcOpInfo"")",9.587,range 5 18,,pass,6.907,12.36,12.36,11.49,10.48,12.36,11.49,10.48,12.36,11.49,10.48,12.36,11.49,10.48,12.36,11.49,10.48,12.36,11.49,10.48,8.392,7.705,6.907,8.392,7.705,6.907,8.392,7.705,6.907,8.392,7.705,6.907,8.392,7.705,6.907,8.392,7.705,6.907
comps_Ckts:Differential_Cascode:1,"pv(""NM15"" ""vdsat"" ?result ""dcOpInfo"")",137.3e-3,> 100m,,pass,106.5e-3,184e-3,106.5e-3,117.1e-3,131.8e-3,106.5e-3,117.1e-3,131.8e-3,106.5e-3,117.1e-3,131.8e-3,106.7e-3,117.3e-3,132e-3,106.7e-3,117.3e-3,132e-3,106.7e-3,117.3e-3,132e-3,150.6e-3,164.8e-3,183.9e-3,150.6e-3,164.8e-3,183.9e-3,150.6e-3,164.8e-3,183.9e-3,150.7e-3,165e-3,184e-3,150.7e-3,165e-3,184e-3,150.7e-3,165e-3,184e-3
comps_Ckts:Differential_Cascode:1,"pv(""NM15"" ""gmoverid"" ?result ""dcOpInfo"")",12.32,range 5 18,,pass,9.442,15.26,15.26,14.28,13.13,15.26,14.28,13.13,15.26,14.28,13.13,15.24,14.26,13.12,15.24,14.26,13.12,15.24,14.26,13.12,11.12,10.32,9.446,11.12,10.32,9.446,11.12,10.32,9.446,11.11,10.31,9.442,11.11,10.31,9.442,11.11,10.31,9.442
comps_Ckts:Differential_Cascode:1,"pv(""NM14"" ""vdsat"" ?result ""dcOpInfo"")",137.3e-3,> 100m,,pass,106.5e-3,184e-3,106.5e-3,117.1e-3,131.8e-3,106.5e-3,117.1e-3,131.8e-3,106.5e-3,117.1e-3,131.8e-3,106.7e-3,117.3e-3,132e-3,106.7e-3,117.3e-3,132e-3,106.7e-3,117.3e-3,132e-3,150.6e-3,164.8e-3,183.9e-3,150.6e-3,164.8e-3,183.9e-3,150.6e-3,164.8e-3,183.9e-3,150.7e-3,165e-3,184e-3,150.7e-3,165e-3,184e-3,150.7e-3,165e-3,184e-3
comps_Ckts:Differential_Cascode:1,"pv(""NM14"" ""gmoverid"" ?result ""dcOpInfo"")",12.32,range 5 18,,pass,9.442,15.26,15.26,14.28,13.13,15.26,14.28,13.13,15.26,14.28,13.13,15.24,14.26,13.12,15.24,14.26,13.12,15.24,14.26,13.12,11.12,10.32,9.446,11.12,10.32,9.446,11.12,10.32,9.446,11.11,10.31,9.442,11.11,10.31,9.442,11.11,10.31,9.442
comps_Ckts:Differential_Cascode:1,"pv(""NM13"" ""vdsat"" ?result ""dcOpInfo"")",164.7e-3,> 100m,,pass,126.4e-3,227.8e-3,126.5e-3,138.8e-3,156.1e-3,126.5e-3,138.8e-3,156.1e-3,126.5e-3,138.8e-3,156.1e-3,126.4e-3,138.8e-3,156.1e-3,126.4e-3,138.8e-3,156.1e-3,126.4e-3,138.8e-3,156.1e-3,183.9e-3,202.1e-3,227.8e-3,183.9e-3,202.1e-3,227.8e-3,183.9e-3,202.1e-3,227.8e-3,183.9e-3,202.1e-3,227.8e-3,183.9e-3,202.1e-3,227.8e-3,183.9e-3,202.1e-3,227.8e-3
